id,microserviceName,URI,connectionTypes,duplicate,creationTime,pattern,role,connections
0,LoadBalancingService0,http://localhost:9010/api/LoadBalancingService0,GET ,false,0,LoadBalanceing,LoadBalancingService,POST http://localhost:9011/api/ProviderService0 PUT http://localhost:9011/api/ProviderService0 GET http://localhost:9011/api/ProviderService0 POST http://localhost:9012/api/ProviderService1 PUT http://localhost:9012/api/ProviderService1 GET http://localhost:9012/api/ProviderService1 
1,ProviderService0,http://localhost:9011/api/ProviderService0,POST PUT GET ,false,1,LoadBalanceing,ProviderService,
2,ProviderService1,http://localhost:9012/api/ProviderService1,POST PUT GET ,false,2,LoadBalanceing,ProviderService,
3,LoadBalancingService1,http://localhost:9013/api/LoadBalancingService1,GET ,false,3,LoadBalanceing,LoadBalancingService,POST http://localhost:9014/api/ProviderService2 PUT http://localhost:9014/api/ProviderService2 GET http://localhost:9014/api/ProviderService2 POST http://localhost:9015/api/ProviderService3 PUT http://localhost:9015/api/ProviderService3 GET http://localhost:9015/api/ProviderService3 
4,ProviderService2,http://localhost:9014/api/ProviderService2,POST PUT GET ,false,4,LoadBalanceing,ProviderService,
5,ProviderService3,http://localhost:9015/api/ProviderService3,POST PUT GET ,false,5,LoadBalanceing,ProviderService,
6,LoadBalancingService2,http://localhost:9016/api/LoadBalancingService2,GET ,false,6,LoadBalanceing,LoadBalancingService,POST http://localhost:9017/api/ProviderService4 PUT http://localhost:9017/api/ProviderService4 GET http://localhost:9017/api/ProviderService4 POST http://localhost:9018/api/ProviderService5 PUT http://localhost:9018/api/ProviderService5 GET http://localhost:9018/api/ProviderService5 
7,ProviderService4,http://localhost:9017/api/ProviderService4,POST PUT GET ,false,7,LoadBalanceing,ProviderService,
8,ProviderService5,http://localhost:9018/api/ProviderService5,POST PUT GET ,false,8,LoadBalanceing,ProviderService,
9,LoadBalancingService3,http://localhost:9019/api/LoadBalancingService3,GET ,false,9,LoadBalanceing,LoadBalancingService,POST http://localhost:9020/api/ProviderService6 PUT http://localhost:9020/api/ProviderService6 GET http://localhost:9020/api/ProviderService6 POST http://localhost:9021/api/ProviderService7 PUT http://localhost:9021/api/ProviderService7 GET http://localhost:9021/api/ProviderService7 POST http://localhost:9022/api/ProviderService8 PUT http://localhost:9022/api/ProviderService8 GET http://localhost:9022/api/ProviderService8 POST http://localhost:9023/api/ProviderService9 PUT http://localhost:9023/api/ProviderService9 GET http://localhost:9023/api/ProviderService9 POST http://localhost:9024/api/ProviderService10 PUT http://localhost:9024/api/ProviderService10 GET http://localhost:9024/api/ProviderService10 POST http://localhost:9025/api/ProviderService11 PUT http://localhost:9025/api/ProviderService11 GET http://localhost:9025/api/ProviderService11 
10,ProviderService6,http://localhost:9020/api/ProviderService6,POST PUT GET ,false,10,LoadBalanceing,ProviderService,
11,ProviderService7,http://localhost:9021/api/ProviderService7,POST PUT GET ,false,11,LoadBalanceing,ProviderService,
12,ProviderService8,http://localhost:9022/api/ProviderService8,POST PUT GET ,false,12,LoadBalanceing,ProviderService,
13,ProviderService9,http://localhost:9023/api/ProviderService9,POST PUT GET ,false,13,LoadBalanceing,ProviderService,
14,ProviderService10,http://localhost:9024/api/ProviderService10,POST PUT GET ,false,14,LoadBalanceing,ProviderService,
15,ProviderService11,http://localhost:9025/api/ProviderService11,POST PUT GET ,false,15,LoadBalanceing,ProviderService,
16,LoadBalancingService4,http://localhost:9026/api/LoadBalancingService4,GET ,false,16,LoadBalanceing,LoadBalancingService,POST http://localhost:9027/api/ProviderService12 PUT http://localhost:9027/api/ProviderService12 GET http://localhost:9027/api/ProviderService12 POST http://localhost:9028/api/ProviderService13 PUT http://localhost:9028/api/ProviderService13 GET http://localhost:9028/api/ProviderService13 POST http://localhost:9029/api/ProviderService14 PUT http://localhost:9029/api/ProviderService14 GET http://localhost:9029/api/ProviderService14 POST http://localhost:9030/api/ProviderService15 PUT http://localhost:9030/api/ProviderService15 GET http://localhost:9030/api/ProviderService15 
17,ProviderService12,http://localhost:9027/api/ProviderService12,POST PUT GET ,false,17,LoadBalanceing,ProviderService,
18,ProviderService13,http://localhost:9028/api/ProviderService13,POST PUT GET ,false,18,LoadBalanceing,ProviderService,
19,ProviderService14,http://localhost:9029/api/ProviderService14,POST PUT GET ,false,19,LoadBalanceing,ProviderService,
20,ProviderService15,http://localhost:9030/api/ProviderService15,POST PUT GET ,false,20,LoadBalanceing,ProviderService,
21,LoadBalancingService5,http://localhost:9031/api/LoadBalancingService5,GET ,false,21,LoadBalanceing,LoadBalancingService,POST http://localhost:9032/api/ProviderService16 PUT http://localhost:9032/api/ProviderService16 GET http://localhost:9032/api/ProviderService16 POST http://localhost:9033/api/ProviderService17 PUT http://localhost:9033/api/ProviderService17 GET http://localhost:9033/api/ProviderService17 POST http://localhost:9034/api/ProviderService18 PUT http://localhost:9034/api/ProviderService18 GET http://localhost:9034/api/ProviderService18 
22,ProviderService16,http://localhost:9032/api/ProviderService16,POST PUT GET ,false,22,LoadBalanceing,ProviderService,
23,ProviderService17,http://localhost:9033/api/ProviderService17,POST PUT GET ,false,23,LoadBalanceing,ProviderService,
24,ProviderService18,http://localhost:9034/api/ProviderService18,POST PUT GET ,false,24,LoadBalanceing,ProviderService,
25,LoadBalancingService6,http://localhost:9035/api/LoadBalancingService6,GET ,false,25,LoadBalanceing,LoadBalancingService,POST http://localhost:9036/api/ProviderService19 PUT http://localhost:9036/api/ProviderService19 GET http://localhost:9036/api/ProviderService19 POST http://localhost:9037/api/ProviderService20 PUT http://localhost:9037/api/ProviderService20 GET http://localhost:9037/api/ProviderService20 POST http://localhost:9038/api/ProviderService21 PUT http://localhost:9038/api/ProviderService21 GET http://localhost:9038/api/ProviderService21 POST http://localhost:9039/api/ProviderService22 PUT http://localhost:9039/api/ProviderService22 GET http://localhost:9039/api/ProviderService22 POST http://localhost:9040/api/ProviderService23 PUT http://localhost:9040/api/ProviderService23 GET http://localhost:9040/api/ProviderService23 POST http://localhost:9041/api/ProviderService24 PUT http://localhost:9041/api/ProviderService24 GET http://localhost:9041/api/ProviderService24 
26,ProviderService19,http://localhost:9036/api/ProviderService19,POST PUT GET ,false,26,LoadBalanceing,ProviderService,
27,ProviderService20,http://localhost:9037/api/ProviderService20,POST PUT GET ,false,27,LoadBalanceing,ProviderService,
28,ProviderService21,http://localhost:9038/api/ProviderService21,POST PUT GET ,false,28,LoadBalanceing,ProviderService,
29,ProviderService22,http://localhost:9039/api/ProviderService22,POST PUT GET ,false,29,LoadBalanceing,ProviderService,
30,ProviderService23,http://localhost:9040/api/ProviderService23,POST PUT GET ,false,30,LoadBalanceing,ProviderService,
31,ProviderService24,http://localhost:9041/api/ProviderService24,POST PUT GET ,false,31,LoadBalanceing,ProviderService,
32,DispatcherService0,http://localhost:9042/api/DispatcherService0,POST ,false,32,PriorityQueue,DispatcherService,POST http://localhost:9047/api/ExternalService0 PUT http://localhost:9047/api/ExternalService0 GET http://localhost:9047/api/ExternalService0 DELETE http://localhost:9047/api/ExternalService0 
33,ClientService0,http://localhost:9043/api/ClientService0,,false,33,PriorityQueue,ClientService,POST http://localhost:9042/api/DispatcherService0 PUT http://localhost:9042/api/DispatcherService0 GET http://localhost:9042/api/DispatcherService0 DELETE http://localhost:9042/api/DispatcherService0 
34,ClientService1,http://localhost:9044/api/ClientService1,,false,34,PriorityQueue,ClientService,POST http://localhost:9042/api/DispatcherService0 PUT http://localhost:9042/api/DispatcherService0 GET http://localhost:9042/api/DispatcherService0 DELETE http://localhost:9042/api/DispatcherService0 
35,ClientService2,http://localhost:9045/api/ClientService2,,false,35,PriorityQueue,ClientService,POST http://localhost:9042/api/DispatcherService0 PUT http://localhost:9042/api/DispatcherService0 GET http://localhost:9042/api/DispatcherService0 DELETE http://localhost:9042/api/DispatcherService0 
36,ClientService3,http://localhost:9046/api/ClientService3,,false,36,PriorityQueue,ClientService,POST http://localhost:9042/api/DispatcherService0 PUT http://localhost:9042/api/DispatcherService0 GET http://localhost:9042/api/DispatcherService0 DELETE http://localhost:9042/api/DispatcherService0 
37,ExternalService0,http://localhost:9047/api/ExternalService0,POST ,false,37,PriorityQueue,ExternalService,
38,DispatcherService1,http://localhost:9048/api/DispatcherService1,POST ,false,38,PriorityQueue,DispatcherService,POST http://localhost:9052/api/ExternalService1 PUT http://localhost:9052/api/ExternalService1 GET http://localhost:9052/api/ExternalService1 DELETE http://localhost:9052/api/ExternalService1 POST http://localhost:9053/api/ExternalService2 PUT http://localhost:9053/api/ExternalService2 GET http://localhost:9053/api/ExternalService2 DELETE http://localhost:9053/api/ExternalService2 POST http://localhost:9054/api/ExternalService3 PUT http://localhost:9054/api/ExternalService3 GET http://localhost:9054/api/ExternalService3 DELETE http://localhost:9054/api/ExternalService3 
39,ClientService4,http://localhost:9049/api/ClientService4,,false,39,PriorityQueue,ClientService,POST http://localhost:9048/api/DispatcherService1 PUT http://localhost:9048/api/DispatcherService1 GET http://localhost:9048/api/DispatcherService1 DELETE http://localhost:9048/api/DispatcherService1 
40,ClientService5,http://localhost:9050/api/ClientService5,,false,40,PriorityQueue,ClientService,POST http://localhost:9048/api/DispatcherService1 PUT http://localhost:9048/api/DispatcherService1 GET http://localhost:9048/api/DispatcherService1 DELETE http://localhost:9048/api/DispatcherService1 
41,ClientService6,http://localhost:9051/api/ClientService6,,false,41,PriorityQueue,ClientService,POST http://localhost:9048/api/DispatcherService1 PUT http://localhost:9048/api/DispatcherService1 GET http://localhost:9048/api/DispatcherService1 DELETE http://localhost:9048/api/DispatcherService1 
42,ExternalService1,http://localhost:9052/api/ExternalService1,POST ,false,42,PriorityQueue,ExternalService,
43,ExternalService2,http://localhost:9053/api/ExternalService2,POST ,false,43,PriorityQueue,ExternalService,
44,ExternalService3,http://localhost:9054/api/ExternalService3,POST ,false,44,PriorityQueue,ExternalService,
45,DispatcherService2,http://localhost:9055/api/DispatcherService2,POST ,false,45,PriorityQueue,DispatcherService,POST http://localhost:9059/api/ExternalService4 PUT http://localhost:9059/api/ExternalService4 GET http://localhost:9059/api/ExternalService4 DELETE http://localhost:9059/api/ExternalService4 POST http://localhost:9060/api/ExternalService5 PUT http://localhost:9060/api/ExternalService5 GET http://localhost:9060/api/ExternalService5 DELETE http://localhost:9060/api/ExternalService5 POST http://localhost:9061/api/ExternalService6 PUT http://localhost:9061/api/ExternalService6 GET http://localhost:9061/api/ExternalService6 DELETE http://localhost:9061/api/ExternalService6 
46,ClientService7,http://localhost:9056/api/ClientService7,,false,46,PriorityQueue,ClientService,POST http://localhost:9055/api/DispatcherService2 PUT http://localhost:9055/api/DispatcherService2 GET http://localhost:9055/api/DispatcherService2 DELETE http://localhost:9055/api/DispatcherService2 
