0 | LoadBalancingService0 | http://localhost:9010/api/LoadBalancingService0 | GET | false | 0 | LoadBalanceing: LoadBalancingService | POST http://localhost:9011/api/ProviderService0 PUT http://localhost:9011/api/ProviderService0 GET http://localhost:9011/api/ProviderService0 POST http://localhost:9012/api/ProviderService1 PUT http://localhost:9012/api/ProviderService1 GET http://localhost:9012/api/ProviderService1 POST http://localhost:9013/api/ProviderService2 PUT http://localhost:9013/api/ProviderService2 GET http://localhost:9013/api/ProviderService2 POST http://localhost:9014/api/ProviderService3 PUT http://localhost:9014/api/ProviderService3 GET http://localhost:9014/api/ProviderService3 
1 | ProviderService0 | http://localhost:9011/api/ProviderService0 | POST PUT GET | false | 1 | LoadBalanceing: ProviderService | 
2 | ProviderService1 | http://localhost:9012/api/ProviderService1 | POST PUT GET | false | 2 | LoadBalanceing: ProviderService | 
3 | ProviderService2 | http://localhost:9013/api/ProviderService2 | POST PUT GET | false | 3 | LoadBalanceing: ProviderService | 
4 | ProviderService3 | http://localhost:9014/api/ProviderService3 | POST PUT GET | false | 4 | LoadBalanceing: ProviderService | 
5 | LoadBalancingService1 | http://localhost:9015/api/LoadBalancingService1 | GET | false | 5 | LoadBalanceing: LoadBalancingService | POST http://localhost:9016/api/ProviderService4 PUT http://localhost:9016/api/ProviderService4 GET http://localhost:9016/api/ProviderService4 POST http://localhost:9017/api/ProviderService5 PUT http://localhost:9017/api/ProviderService5 GET http://localhost:9017/api/ProviderService5 POST http://localhost:9018/api/ProviderService6 PUT http://localhost:9018/api/ProviderService6 GET http://localhost:9018/api/ProviderService6 POST http://localhost:9019/api/ProviderService7 PUT http://localhost:9019/api/ProviderService7 GET http://localhost:9019/api/ProviderService7 POST http://localhost:9020/api/ProviderService8 PUT http://localhost:9020/api/ProviderService8 GET http://localhost:9020/api/ProviderService8 
6 | ProviderService4 | http://localhost:9016/api/ProviderService4 | POST PUT GET | false | 6 | LoadBalanceing: ProviderService | 
7 | ProviderService5 | http://localhost:9017/api/ProviderService5 | POST PUT GET | false | 7 | LoadBalanceing: ProviderService | 
8 | ProviderService6 | http://localhost:9018/api/ProviderService6 | POST PUT GET | false | 8 | LoadBalanceing: ProviderService | 
9 | ProviderService7 | http://localhost:9019/api/ProviderService7 | POST PUT GET | false | 9 | LoadBalanceing: ProviderService | 
10 | ProviderService8 | http://localhost:9020/api/ProviderService8 | POST PUT GET | false | 10 | LoadBalanceing: ProviderService | 
11 | LoadBalancingService2 | http://localhost:9021/api/LoadBalancingService2 | GET | false | 11 | LoadBalanceing: LoadBalancingService | POST http://localhost:9022/api/ProviderService9 PUT http://localhost:9022/api/ProviderService9 GET http://localhost:9022/api/ProviderService9 POST http://localhost:9023/api/ProviderService10 PUT http://localhost:9023/api/ProviderService10 GET http://localhost:9023/api/ProviderService10 POST http://localhost:9024/api/ProviderService11 PUT http://localhost:9024/api/ProviderService11 GET http://localhost:9024/api/ProviderService11 
12 | ProviderService9 | http://localhost:9022/api/ProviderService9 | POST PUT GET | false | 12 | LoadBalanceing: ProviderService | 
13 | ProviderService10 | http://localhost:9023/api/ProviderService10 | POST PUT GET | false | 13 | LoadBalanceing: ProviderService | 
14 | ProviderService11 | http://localhost:9024/api/ProviderService11 | POST PUT GET | false | 14 | LoadBalanceing: ProviderService | 
15 | LoadBalancingService3 | http://localhost:9025/api/LoadBalancingService3 | GET | false | 15 | LoadBalanceing: LoadBalancingService | POST http://localhost:9026/api/ProviderService12 PUT http://localhost:9026/api/ProviderService12 GET http://localhost:9026/api/ProviderService12 POST http://localhost:9027/api/ProviderService13 PUT http://localhost:9027/api/ProviderService13 GET http://localhost:9027/api/ProviderService13 POST http://localhost:9028/api/ProviderService14 PUT http://localhost:9028/api/ProviderService14 GET http://localhost:9028/api/ProviderService14 
16 | ProviderService12 | http://localhost:9026/api/ProviderService12 | POST PUT GET | false | 16 | LoadBalanceing: ProviderService | 
17 | ProviderService13 | http://localhost:9027/api/ProviderService13 | POST PUT GET | false | 17 | LoadBalanceing: ProviderService | 
18 | ProviderService14 | http://localhost:9028/api/ProviderService14 | POST PUT GET | false | 18 | LoadBalanceing: ProviderService | 
19 | LoadBalancingService4 | http://localhost:9029/api/LoadBalancingService4 | GET | false | 19 | LoadBalanceing: LoadBalancingService | POST http://localhost:9030/api/ProviderService15 PUT http://localhost:9030/api/ProviderService15 GET http://localhost:9030/api/ProviderService15 POST http://localhost:9031/api/ProviderService16 PUT http://localhost:9031/api/ProviderService16 GET http://localhost:9031/api/ProviderService16 
20 | ProviderService15 | http://localhost:9030/api/ProviderService15 | POST PUT GET | false | 20 | LoadBalanceing: ProviderService | 
21 | ProviderService16 | http://localhost:9031/api/ProviderService16 | POST PUT GET | false | 21 | LoadBalanceing: ProviderService | 
22 | LoadBalancingService5 | http://localhost:9032/api/LoadBalancingService5 | GET | false | 22 | LoadBalanceing: LoadBalancingService | POST http://localhost:9033/api/ProviderService17 PUT http://localhost:9033/api/ProviderService17 GET http://localhost:9033/api/ProviderService17 POST http://localhost:9034/api/ProviderService18 PUT http://localhost:9034/api/ProviderService18 GET http://localhost:9034/api/ProviderService18 POST http://localhost:9035/api/ProviderService19 PUT http://localhost:9035/api/ProviderService19 GET http://localhost:9035/api/ProviderService19 
23 | ProviderService17 | http://localhost:9033/api/ProviderService17 | POST PUT GET | false | 23 | LoadBalanceing: ProviderService | 
24 | ProviderService18 | http://localhost:9034/api/ProviderService18 | POST PUT GET | false | 24 | LoadBalanceing: ProviderService | 
25 | ProviderService19 | http://localhost:9035/api/ProviderService19 | POST PUT GET | false | 25 | LoadBalanceing: ProviderService | 
26 | LoadBalancingService6 | http://localhost:9036/api/LoadBalancingService6 | GET | false | 26 | LoadBalanceing: LoadBalancingService | POST http://localhost:9037/api/ProviderService20 PUT http://localhost:9037/api/ProviderService20 GET http://localhost:9037/api/ProviderService20 POST http://localhost:9038/api/ProviderService21 PUT http://localhost:9038/api/ProviderService21 GET http://localhost:9038/api/ProviderService21 POST http://localhost:9039/api/ProviderService22 PUT http://localhost:9039/api/ProviderService22 GET http://localhost:9039/api/ProviderService22 
27 | ProviderService20 | http://localhost:9037/api/ProviderService20 | POST PUT GET | false | 27 | LoadBalanceing: ProviderService | 
28 | ProviderService21 | http://localhost:9038/api/ProviderService21 | POST PUT GET | false | 28 | LoadBalanceing: ProviderService | 
29 | ProviderService22 | http://localhost:9039/api/ProviderService22 | POST PUT GET | false | 29 | LoadBalanceing: ProviderService | 
30 | LoadBalancingService7 | http://localhost:9040/api/LoadBalancingService7 | GET | false | 30 | LoadBalanceing: LoadBalancingService | POST http://localhost:9041/api/ProviderService23 PUT http://localhost:9041/api/ProviderService23 GET http://localhost:9041/api/ProviderService23 POST http://localhost:9042/api/ProviderService24 PUT http://localhost:9042/api/ProviderService24 GET http://localhost:9042/api/ProviderService24 POST http://localhost:9043/api/ProviderService25 PUT http://localhost:9043/api/ProviderService25 GET http://localhost:9043/api/ProviderService25 POST http://localhost:9044/api/ProviderService26 PUT http://localhost:9044/api/ProviderService26 GET http://localhost:9044/api/ProviderService26 POST http://localhost:9045/api/ProviderService27 PUT http://localhost:9045/api/ProviderService27 GET http://localhost:9045/api/ProviderService27 
31 | ProviderService23 | http://localhost:9041/api/ProviderService23 | POST PUT GET | false | 31 | LoadBalanceing: ProviderService | 
32 | ProviderService24 | http://localhost:9042/api/ProviderService24 | POST PUT GET | false | 32 | LoadBalanceing: ProviderService | 
33 | ProviderService25 | http://localhost:9043/api/ProviderService25 | POST PUT GET | false | 33 | LoadBalanceing: ProviderService | 
34 | ProviderService26 | http://localhost:9044/api/ProviderService26 | POST PUT GET | false | 34 | LoadBalanceing: ProviderService | 
35 | ProviderService27 | http://localhost:9045/api/ProviderService27 | POST PUT GET | false | 35 | LoadBalanceing: ProviderService | 
36 | LoadBalancingService8 | http://localhost:9046/api/LoadBalancingService8 | GET | false | 36 | LoadBalanceing: LoadBalancingService | POST http://localhost:9047/api/ProviderService28 PUT http://localhost:9047/api/ProviderService28 GET http://localhost:9047/api/ProviderService28 POST http://localhost:9048/api/ProviderService29 PUT http://localhost:9048/api/ProviderService29 GET http://localhost:9048/api/ProviderService29 POST http://localhost:9049/api/ProviderService30 PUT http://localhost:9049/api/ProviderService30 GET http://localhost:9049/api/ProviderService30 POST http://localhost:9050/api/ProviderService31 PUT http://localhost:9050/api/ProviderService31 GET http://localhost:9050/api/ProviderService31 POST http://localhost:9051/api/ProviderService32 PUT http://localhost:9051/api/ProviderService32 GET http://localhost:9051/api/ProviderService32 POST http://localhost:9052/api/ProviderService33 PUT http://localhost:9052/api/ProviderService33 GET http://localhost:9052/api/ProviderService33 
37 | ProviderService28 | http://localhost:9047/api/ProviderService28 | POST PUT GET | false | 37 | LoadBalanceing: ProviderService | 
38 | ProviderService29 | http://localhost:9048/api/ProviderService29 | POST PUT GET | false | 38 | LoadBalanceing: ProviderService | 
39 | ProviderService30 | http://localhost:9049/api/ProviderService30 | POST PUT GET | false | 39 | LoadBalanceing: ProviderService | 
40 | ProviderService31 | http://localhost:9050/api/ProviderService31 | POST PUT GET | false | 40 | LoadBalanceing: ProviderService | 
41 | ProviderService32 | http://localhost:9051/api/ProviderService32 | POST PUT GET | false | 41 | LoadBalanceing: ProviderService | 
42 | ProviderService33 | http://localhost:9052/api/ProviderService33 | POST PUT GET | false | 42 | LoadBalanceing: ProviderService | 
43 | LoadBalancingService9 | http://localhost:9053/api/LoadBalancingService9 | GET | false | 43 | LoadBalanceing: LoadBalancingService | POST http://localhost:9054/api/ProviderService34 PUT http://localhost:9054/api/ProviderService34 GET http://localhost:9054/api/ProviderService34 POST http://localhost:9055/api/ProviderService35 PUT http://localhost:9055/api/ProviderService35 GET http://localhost:9055/api/ProviderService35 POST http://localhost:9056/api/ProviderService36 PUT http://localhost:9056/api/ProviderService36 GET http://localhost:9056/api/ProviderService36 
44 | ProviderService34 | http://localhost:9054/api/ProviderService34 | POST PUT GET | false | 44 | LoadBalanceing: ProviderService | 
45 | ProviderService35 | http://localhost:9055/api/ProviderService35 | POST PUT GET | false | 45 | LoadBalanceing: ProviderService | 
46 | ProviderService36 | http://localhost:9056/api/ProviderService36 | POST PUT GET | false | 46 | LoadBalanceing: ProviderService | 
47 | LoadBalancingService10 | http://localhost:9057/api/LoadBalancingService10 | GET | false | 47 | LoadBalanceing: LoadBalancingService | POST http://localhost:9058/api/ProviderService37 PUT http://localhost:9058/api/ProviderService37 GET http://localhost:9058/api/ProviderService37 POST http://localhost:9059/api/ProviderService38 PUT http://localhost:9059/api/ProviderService38 GET http://localhost:9059/api/ProviderService38 
48 | ProviderService37 | http://localhost:9058/api/ProviderService37 | POST PUT GET | false | 48 | LoadBalanceing: ProviderService | 
49 | ProviderService38 | http://localhost:9059/api/ProviderService38 | POST PUT GET | false | 49 | LoadBalanceing: ProviderService | 
50 | LoadBalancingService11 | http://localhost:9060/api/LoadBalancingService11 | GET | false | 50 | LoadBalanceing: LoadBalancingService | POST http://localhost:9061/api/ProviderService39 PUT http://localhost:9061/api/ProviderService39 GET http://localhost:9061/api/ProviderService39 POST http://localhost:9062/api/ProviderService40 PUT http://localhost:9062/api/ProviderService40 GET http://localhost:9062/api/ProviderService40 
