id,microserviceName,URI,connectionTypes,duplicate,creationTime,pattern,role,connections
2104,Head40,http://localhost:11114/api/Head40,,false,2104,Consolidation,Head,POST http://localhost:11115/api/Worker186 PUT http://localhost:11115/api/Worker186 GET http://localhost:11115/api/Worker186 POST http://localhost:11116/api/Worker187 PUT http://localhost:11116/api/Worker187 GET http://localhost:11116/api/Worker187 POST http://localhost:11117/api/Worker188 PUT http://localhost:11117/api/Worker188 GET http://localhost:11117/api/Worker188 POST http://localhost:11118/api/Worker189 PUT http://localhost:11118/api/Worker189 GET http://localhost:11118/api/Worker189 POST http://localhost:11119/api/Worker190 PUT http://localhost:11119/api/Worker190 GET http://localhost:11119/api/Worker190 
2105,Worker186,http://localhost:11115/api/Worker186,POST PUT GET ,false,2105,Consolidation,Worker,
2106,Worker187,http://localhost:11116/api/Worker187,POST PUT GET ,false,2106,Consolidation,Worker,
2107,Worker188,http://localhost:11117/api/Worker188,POST PUT GET ,false,2107,Consolidation,Worker,
2108,Worker189,http://localhost:11118/api/Worker189,POST PUT GET ,false,2108,Consolidation,Worker,
2109,Worker190,http://localhost:11119/api/Worker190,POST PUT GET ,false,2109,Consolidation,Worker,
2110,Head41,http://localhost:11120/api/Head41,,false,2110,Consolidation,Head,POST http://localhost:11121/api/Worker191 PUT http://localhost:11121/api/Worker191 GET http://localhost:11121/api/Worker191 POST http://localhost:11122/api/Worker192 PUT http://localhost:11122/api/Worker192 GET http://localhost:11122/api/Worker192 POST http://localhost:11123/api/Worker193 PUT http://localhost:11123/api/Worker193 GET http://localhost:11123/api/Worker193 POST http://localhost:11124/api/Worker194 PUT http://localhost:11124/api/Worker194 GET http://localhost:11124/api/Worker194 POST http://localhost:11125/api/Worker195 PUT http://localhost:11125/api/Worker195 GET http://localhost:11125/api/Worker195 
2111,Worker191,http://localhost:11121/api/Worker191,POST PUT GET ,false,2111,Consolidation,Worker,
2112,Worker192,http://localhost:11122/api/Worker192,POST PUT GET ,false,2112,Consolidation,Worker,
2113,Worker193,http://localhost:11123/api/Worker193,POST PUT GET ,false,2113,Consolidation,Worker,
