id,microserviceName,URI,connectionTypes,duplicate,creationTime,pattern,role,connections
3241,Head62,http://localhost:12251/api/Head62,,false,3241,Consolidation,Head,POST http://localhost:12252/api/Worker270 PUT http://localhost:12252/api/Worker270 GET http://localhost:12252/api/Worker270 POST http://localhost:12253/api/Worker271 PUT http://localhost:12253/api/Worker271 GET http://localhost:12253/api/Worker271 POST http://localhost:12254/api/Worker272 PUT http://localhost:12254/api/Worker272 GET http://localhost:12254/api/Worker272 POST http://localhost:12255/api/Worker273 PUT http://localhost:12255/api/Worker273 GET http://localhost:12255/api/Worker273 
3242,Worker270,http://localhost:12252/api/Worker270,POST PUT GET ,false,3242,Consolidation,Worker,
3243,Worker271,http://localhost:12253/api/Worker271,POST PUT GET ,false,3243,Consolidation,Worker,
3244,Worker272,http://localhost:12254/api/Worker272,POST PUT GET ,false,3244,Consolidation,Worker,
3245,Worker273,http://localhost:12255/api/Worker273,POST PUT GET ,false,3245,Consolidation,Worker,
3246,Head63,http://localhost:12256/api/Head63,,false,3246,Consolidation,Head,POST http://localhost:12257/api/Worker274 PUT http://localhost:12257/api/Worker274 GET http://localhost:12257/api/Worker274 POST http://localhost:12258/api/Worker275 PUT http://localhost:12258/api/Worker275 GET http://localhost:12258/api/Worker275 
3247,Worker274,http://localhost:12257/api/Worker274,POST PUT GET ,false,3247,Consolidation,Worker,
3248,Worker275,http://localhost:12258/api/Worker275,POST PUT GET ,false,3248,Consolidation,Worker,
3249,Head64,http://localhost:12259/api/Head64,,false,3249,Consolidation,Head,POST http://localhost:12260/api/Worker276 PUT http://localhost:12260/api/Worker276 GET http://localhost:12260/api/Worker276 POST http://localhost:12261/api/Worker277 PUT http://localhost:12261/api/Worker277 GET http://localhost:12261/api/Worker277 POST http://localhost:12262/api/Worker278 PUT http://localhost:12262/api/Worker278 GET http://localhost:12262/api/Worker278 POST http://localhost:12263/api/Worker279 PUT http://localhost:12263/api/Worker279 GET http://localhost:12263/api/Worker279 POST http://localhost:12264/api/Worker280 PUT http://localhost:12264/api/Worker280 GET http://localhost:12264/api/Worker280 POST http://localhost:12265/api/Worker281 PUT http://localhost:12265/api/Worker281 GET http://localhost:12265/api/Worker281 
3250,Worker276,http://localhost:12260/api/Worker276,POST PUT GET ,false,3250,Consolidation,Worker,
3251,Worker277,http://localhost:12261/api/Worker277,POST PUT GET ,false,3251,Consolidation,Worker,
3252,Worker278,http://localhost:12262/api/Worker278,POST PUT GET ,false,3252,Consolidation,Worker,
3253,Worker279,http://localhost:12263/api/Worker279,POST PUT GET ,false,3253,Consolidation,Worker,
3254,Worker280,http://localhost:12264/api/Worker280,POST PUT GET ,false,3254,Consolidation,Worker,
3255,Worker281,http://localhost:12265/api/Worker281,POST PUT GET ,false,3255,Consolidation,Worker,
3256,worker195,http://localhost:12266/api/worker195,GET PUT DELETE ,false,3256,NoPattern,Worker,GET http://localhost:12267/api/Client169 DELETE http://localhost:12267/api/Client169 PUT http://localhost:12267/api/Client169 POST http://localhost:12267/api/Client169 
3257,Client169,http://localhost:12267/api/Client169,GET PUT ,false,3257,NoPattern,Client,PUT http://localhost:12266/api/worker195 GET http://localhost:12266/api/worker195 DELETE http://localhost:12266/api/worker195 DELETE http://localhost:12266/api/worker195 PUT http://localhost:12266/api/worker195 POST http://localhost:12268/api/worker196 DELETE http://localhost:12268/api/worker196 GET http://localhost:12268/api/worker196 
