id,microserviceName,URI,connectionTypes,duplicate,creationTime,pattern,role,connections
0,ServiceRegistry0,http://localhost:9010/api/ServiceRegistry0,POST PUT GET DELETE ,false,0,ServiceDiscovery,ServiceRegistry,
1,Worker0,http://localhost:9011/api/Worker0,POST PUT GET DELETE ,false,1,ServiceDiscovery,Worker,POST http://localhost:9010/api/ServiceRegistry0 PUT http://localhost:9010/api/ServiceRegistry0 DELETE http://localhost:9010/api/ServiceRegistry0 
2,Worker1,http://localhost:9012/api/Worker1,POST PUT GET DELETE ,false,2,ServiceDiscovery,Worker,POST http://localhost:9010/api/ServiceRegistry0 PUT http://localhost:9010/api/ServiceRegistry0 DELETE http://localhost:9010/api/ServiceRegistry0 
3,Worker2,http://localhost:9013/api/Worker2,POST PUT GET DELETE ,false,3,ServiceDiscovery,Worker,POST http://localhost:9010/api/ServiceRegistry0 PUT http://localhost:9010/api/ServiceRegistry0 DELETE http://localhost:9010/api/ServiceRegistry0 
4,Worker3,http://localhost:9014/api/Worker3,POST PUT GET DELETE ,false,4,ServiceDiscovery,Worker,POST http://localhost:9010/api/ServiceRegistry0 PUT http://localhost:9010/api/ServiceRegistry0 DELETE http://localhost:9010/api/ServiceRegistry0 
5,Worker4,http://localhost:9015/api/Worker4,POST PUT GET DELETE ,false,5,ServiceDiscovery,Worker,POST http://localhost:9010/api/ServiceRegistry0 PUT http://localhost:9010/api/ServiceRegistry0 DELETE http://localhost:9010/api/ServiceRegistry0 
6,Client0,http://localhost:9016/api/Client0,,false,6,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
7,Client1,http://localhost:9017/api/Client1,,false,7,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
8,Client2,http://localhost:9018/api/Client2,,false,8,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
9,Client3,http://localhost:9019/api/Client3,,false,9,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
10,Client4,http://localhost:9020/api/Client4,,false,10,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
11,Client5,http://localhost:9021/api/Client5,,false,11,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
12,Client6,http://localhost:9022/api/Client6,,false,12,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
13,Client7,http://localhost:9023/api/Client7,,false,13,ServiceDiscovery,Client,GET http://localhost:9010/api/ServiceRegistry0 GET http://localhost:9015/api/Worker4 PUT http://localhost:9015/api/Worker4 POST http://localhost:9015/api/Worker4 DELETE http://localhost:9015/api/Worker4 
