edge_type,node_id_src,node_id_dst
api2api,81,80
api2api,85,80
api2api,70,85
api2api,67,70
api2api,71,67
api2api,72,67
api2api,74,67
api2api,244,71
api2api,248,244
api2api,249,248
api2api,247,248
api2api,245,249
api2api,246,245
api2api,260,72
api2api,269,260
api2api,273,269
api2api,259,269
api2api,266,273
api2api,267,266
api2api,202,259
api2api,204,202
api2api,206,204
api2api,211,204
api2api,210,204
api2api,212,206
api2api,213,206
api2api,209,212
api2api,230,74
api2api,233,230
api2api,234,233
api2api,231,234
api2api,232,231
api2api,91,80
api2api,11,91
api2api,15,11
api2api,10,15
api2api,16,15
api2api,14,15
api2api,292,10
api2api,293,292
api2api,12,16
api2api,13,12
api2api,90,80
api2api,265,90
api2api,271,265
api2api,272,271
api2api,262,271
api2api,263,271
api2api,266,272
api2api,268,272
api2api,25,262
api2api,18,25
api2api,28,18
api2api,29,18
api2api,27,18
api2api,26,18
api2api,236,28
api2api,240,236
api2api,243,240
api2api,238,243
api2api,239,238
api2api,251,29
api2api,255,251
api2api,257,255
api2api,253,257
api2api,254,253
api2api,203,27
api2api,205,203
api2api,207,205
api2api,211,205
api2api,210,205
api2api,208,207
api2api,209,208
api2api,195,26
api2api,198,195
api2api,197,198
api2api,200,197
api2api,201,200
api2api,219,263
api2api,221,219
api2api,217,221
api2api,215,221
api2api,142,217
api2api,147,142
api2api,153,147
api2api,155,153
api2api,156,155
api2api,40,215
api2api,38,40
api2api,39,38
api2api,41,39
api2api,42,41
api2api,87,80
api2api,178,87
api2api,181,178
api2api,173,181
api2api,172,181
api2api,180,181
api2api,175,181
api2api,179,181
api2api,177,181
api2api,176,181
api2api,174,181
api2api,225,173
api2api,228,225
api2api,224,228
api2api,223,228
api2api,229,228
api2api,138,224
api2api,150,138
api2api,151,150
api2api,155,151
api2api,115,223
api2api,119,216
api2api,118,177
api2api,127,115
api2api,124,119
api2api,122,118
api2api,128,127
api2api,130,124
api2api,128,122
api2api,131,122
api2api,132,128
api2api,132,130
api2api,135,131
api2api,136,131
api2api,133,132
api2api,133,135
api2api,121,136
api2api,226,229
api2api,227,226
api2api,45,172
api2api,43,45
api2api,44,43
api2api,47,44
api2api,48,44
api2api,46,47
api2api,278,180
api2api,283,278
api2api,286,283
api2api,275,283
api2api,277,283
api2api,280,286
api2api,281,280
api2api,24,275
api2api,24,175
api2api,17,24
api2api,22,17
api2api,23,17
api2api,21,17
api2api,20,17
api2api,235,22
api2api,241,235
api2api,242,241
api2api,237,242
api2api,239,237
api2api,250,23
api2api,255,250
api2api,256,255
api2api,252,256
api2api,254,252
api2api,202,21
api2api,194,20
api2api,198,194
api2api,196,198
api2api,199,196
api2api,201,199
api2api,219,277
api2api,218,179
api2api,220,218
api2api,216,221
api2api,216,220
api2api,73,176
api2api,66,73
api2api,68,66
api2api,69,66
api2api,64,66
api2api,76,68
api2api,78,69
api2api,79,69
api2api,77,76
api2api,77,78
api2api,75,79
api2api,54,64
api2api,49,54
api2api,52,49
api2api,53,49
api2api,51,52
api2api,50,53
api2api,287,174
api2api,290,287
api2api,291,290
api2api,288,291
api2api,289,288
