node_id,node_name,service,node_type
0,ts-assurance-service-AssuranceController.createNewAssurance,ts-assurance-service,api
1,ts-assurance-service-AssuranceRepository.findByOrderId,ts-assurance-service,api
2,ts-assurance-service-AssuranceRepository.save,ts-assurance-service,api
3,ts-assurance-service-HTTP GET/api/v1/assuranceservice/assurances/{typeIndex}/{orderId},ts-assurance-service,api
4,ts-assurance-service-INSERT ts.assurance,ts-assurance-service,api
5,ts-assurance-service-SELECT Assurance,ts-assurance-service,api
6,ts-assurance-service-SELECT ts.assurance,ts-assurance-service,api
7,ts-assurance-service-Session.merge assurance.entity.Assurance,ts-assurance-service,api
8,ts-assurance-service-Transaction.commit,ts-assurance-service,api
9,ts-auth-service-BasicErrorController.error,ts-auth-service,api
10,ts-auth-service-HTTP GET/api/v1/verifycode/verify/{verifyCode},ts-auth-service,api
11,ts-auth-service-HTTP POST/api/v1/users/login,ts-auth-service,api
12,ts-auth-service-SELECT User,ts-auth-service,api
13,ts-auth-service-SELECT ts.auth_user,ts-auth-service,api
14,ts-auth-service-SELECT ts.user_roles,ts-auth-service,api
15,ts-auth-service-UserController.getToken,ts-auth-service,api
16,ts-auth-service-UserRepository.findByUsername,ts-auth-service,api
17,ts-basic-service-BasicController.queryForTravel,ts-basic-service,api
18,ts-basic-service-BasicController.queryForTravels,ts-basic-service,api
19,ts-basic-service-BasicErrorController.error,ts-basic-service,api
20,ts-basic-service-HTTP GET/api/v1/priceservice/prices/{routeId}/{trainType},ts-basic-service,api
21,ts-basic-service-HTTP GET/api/v1/routeservice/routes/{routeId},ts-basic-service,api
22,ts-basic-service-HTTP GET/api/v1/stationservice/stations/id/{stationNameForId},ts-basic-service,api
23,ts-basic-service-HTTP GET/api/v1/trainservice/trains/byName/{name},ts-basic-service,api
24,ts-basic-service-HTTP POST/api/v1/basicservice/basic/travel,ts-basic-service,api
25,ts-basic-service-HTTP POST/api/v1/basicservice/basic/travels,ts-basic-service,api
26,ts-basic-service-HTTP POST/api/v1/priceservice/prices/byRouteIdsAndTrainTypes,ts-basic-service,api
27,ts-basic-service-HTTP POST/api/v1/routeservice/routes/byIds/,ts-basic-service,api
28,ts-basic-service-HTTP POST/api/v1/stationservice/stations/idlist,ts-basic-service,api
29,ts-basic-service-HTTP POST/api/v1/trainservice/trains/byNames,ts-basic-service,api
30,ts-cancel-service-CancelController.cancelTicket,ts-cancel-service,api
31,ts-cancel-service-HTTP GET/api/v1/cancelservice/cancel/{orderId}/{loginId},ts-cancel-service,api
32,ts-cancel-service-HTTP GET/api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money},ts-cancel-service,api
33,ts-cancel-service-HTTP GET/api/v1/orderOtherService/orderOther/{orderId},ts-cancel-service,api
34,ts-cancel-service-HTTP GET/api/v1/orderservice/order/{orderId},ts-cancel-service,api
35,ts-cancel-service-HTTP GET/api/v1/userservice/users/id/{userId},ts-cancel-service,api
36,ts-cancel-service-HTTP PUT/api/v1/orderOtherService/orderOther,ts-cancel-service,api
37,ts-cancel-service-HTTP PUT/api/v1/orderservice/order,ts-cancel-service,api
38,ts-config-service-ConfigController.retrieve,ts-config-service,api
39,ts-config-service-ConfigRepository.findByName,ts-config-service,api
40,ts-config-service-HTTP GET/api/v1/configservice/configs/{configName},ts-config-service,api
41,ts-config-service-SELECT Config,ts-config-service,api
42,ts-config-service-SELECT ts.config,ts-config-service,api
43,ts-contacts-service-ContactsController.getContactsByContactsId,ts-contacts-service,api
44,ts-contacts-service-ContactsRepository.findById,ts-contacts-service,api
45,ts-contacts-service-HTTP GET/api/v1/contactservice/contacts/{id},ts-contacts-service,api
46,ts-contacts-service-SELECT ts.contacts,ts-contacts-service,api
47,ts-contacts-service-Session.find contacts.entity.Contacts,ts-contacts-service,api
48,ts-contacts-service-Transaction.commit,ts-contacts-service,api
49,ts-delivery-service-DeliveryRepository.save,ts-delivery-service,api
50,ts-delivery-service-INSERT ts.delivery,ts-delivery-service,api
51,ts-delivery-service-SELECT ts.delivery,ts-delivery-service,api
52,ts-delivery-service-Session.merge delivery.entity.Delivery,ts-delivery-service,api
53,ts-delivery-service-Transaction.commit,ts-delivery-service,api
54,ts-delivery-service-food_delivery process,ts-delivery-service,api
55,ts-execute-service-BasicErrorController.error,ts-execute-service,api
56,ts-execute-service-ExecuteControlller.collectTicket,ts-execute-service,api
57,ts-execute-service-ExecuteControlller.executeTicket,ts-execute-service,api
58,ts-execute-service-HTTP GET/api/v1/executeservice/execute/collected/{orderId},ts-execute-service,api
59,ts-execute-service-HTTP GET/api/v1/executeservice/execute/execute/{orderId},ts-execute-service,api
60,ts-execute-service-HTTP GET/api/v1/orderOtherService/orderOther/status/{orderId}/{status},ts-execute-service,api
61,ts-execute-service-HTTP GET/api/v1/orderOtherService/orderOther/{orderId},ts-execute-service,api
62,ts-execute-service-HTTP GET/api/v1/orderservice/order/status/{orderId}/{status},ts-execute-service,api
63,ts-execute-service-HTTP GET/api/v1/orderservice/order/{orderId},ts-execute-service,api
64,ts-food-service-<default> send,ts-food-service,api
65,ts-food-service-BasicErrorController.error,ts-food-service,api
66,ts-food-service-FoodController.createFoodOrder,ts-food-service,api
67,ts-food-service-FoodController.getAllFood,ts-food-service,api
68,ts-food-service-FoodOrderRepository.findByOrderId,ts-food-service,api
69,ts-food-service-FoodOrderRepository.save,ts-food-service,api
70,ts-food-service-HTTP GET/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},ts-food-service,api
71,ts-food-service-HTTP GET/api/v1/trainfoodservice/trainfoods/{tripId},ts-food-service,api
72,ts-food-service-HTTP GET/api/v1/travelservice/routes/{tripId},ts-food-service,api
73,ts-food-service-HTTP POST/api/v1/foodservice/orders,ts-food-service,api
74,ts-food-service-HTTP POST/api/v1/stationfoodservice/stationfoodstores,ts-food-service,api
75,ts-food-service-INSERT ts.food_order,ts-food-service,api
76,ts-food-service-SELECT FoodOrder,ts-food-service,api
77,ts-food-service-SELECT ts.food_order,ts-food-service,api
78,ts-food-service-Session.merge foodsearch.entity.FoodOrder,ts-food-service,api
79,ts-food-service-Transaction.commit,ts-food-service,api
80,ts-gateway-service-/*,ts-gateway-service,api
81,ts-gateway-service-FilteringWebHandler.handle,ts-gateway-service,api
82,ts-gateway-service-HTTP GET/api/v1/cancelservice/cancel/{orderId}/{loginId},ts-gateway-service,api
83,ts-gateway-service-HTTP GET/api/v1/executeservice/execute/collected/{orderId},ts-gateway-service,api
84,ts-gateway-service-HTTP GET/api/v1/executeservice/execute/execute/{orderId},ts-gateway-service,api
85,ts-gateway-service-HTTP GET/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},ts-gateway-service,api
86,ts-gateway-service-HTTP POST/api/v1/inside_pay_service/inside_payment,ts-gateway-service,api
87,ts-gateway-service-HTTP POST/api/v1/preserveotherservice/preserveOther,ts-gateway-service,api
88,ts-gateway-service-HTTP POST/api/v1/preserveservice/preserve,ts-gateway-service,api
89,ts-gateway-service-HTTP POST/api/v1/travel2service/trips/left,ts-gateway-service,api
